微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
MmabWnoHU,注意看，这里有一个营销号，现在我把他🐎鲨了，神奇的事情发生了……——夏之空  ,,无,无,无,2022-12-31 19:40,无,645,3,37
Mm24g9PG5,为什么城市夜晚看到的飞机都在移动，而乡村夜晚的飞机都在原地不动呢？——@希望也是如此  ,,无,无,无,2022-12-30 23:00,微博 weibo.com,818,11,36
Mm1FUfdPb,你知道安吉拉北鼻一般怎么打招呼吗？absolutely ab salute ——@陈晨成趁晨称橙  ,,无,无,无,2022-12-30 22:00,微博 weibo.com,625,14,42
Mm1hyA1Re,玩火尿炕，那我玩尿是不是就能喷火了？——@嘉晚饭牛逼  ,,无,无,无,2022-12-30 21:00,微博 weibo.com,801,20,50
Mm0Tc435e,因为路灯越来越多，所以星星越来越少。——@中二少年想养喵  ,,无,无,无,2022-12-30 20:00,微博 weibo.com,2811,260,73
Mm0uQijmy,怎么我每次去医院医生都在那里，他是不是比我病的还严重？——@中二少年想养喵  ,,无,无,无,2022-12-30 19:00,微博 weibo.com,1334,32,50
Mm0iF69kM,都说人无法死而复生，可是为什么我天天都能看到一堆活动的尸体。——@希望也是如此  ,,无,无,无,2022-12-30 18:30,微博 weibo.com,593,21,50
Mm06xAqF5,奶牛的英文是cow，所以牛奶的英文是woc——@古都洗衣机  ,,无,无,无,2022-12-30 18:00,微博 weibo.com,3539,221,100
Mm06ukqc1,为什么单项选择题只有一个正确答案，还要打印别的答案，不是很浪费吗？——@兇手和戀人都喜歡在事後重返現場  ,,无,无,无,2022-12-30 18:00,微博 weibo.com,1179,29,24
Mm06ukpV9,尽量规避包含滴落情绪的东西，用手冲咖啡代替滴落式咖啡——@为了和你吃饭才打的一针  ,,无,无,无,2022-12-30 18:00,微博 weibo.com,222,6,10
MlZI84ULD,有什么事可以和天空说，和草地说，不要和沙漠说，漠不关心。 ——@UNEDEUXTROIS  ,,无,无,无,2022-12-30 17:00,微博 weibo.com,4319,774,144
MlZjNnnhJ,具体问题具体分析，数学问题数学分析。——@1F605  ,,无,无,无,2022-12-30 16:00,微博 weibo.com,1184,36,76
MlZjMrVPh,冰海里有什么动物？水母——@余烬虚炎  ,,无,无,无,2022-12-30 16:00,微博 weibo.com,685,16,31
MlYVr2rRz,公园里收音机外放的老大爷，某种意义上也是自带bgm的男人——@酶联型受体  ,,无,无,无,2022-12-30 15:00,微博 weibo.com,491,8,24
MlYx4xhT8,古代腰斩从来不杀七岁以下儿童，因为小孩没有腰。——@风干牛肉锅  ,,无,无,无,2022-12-30 14:00,微博 weibo.com,1013,9,40
MlY8Izp8u,既然明日何其多，为什么不把事情都放明日在做，今日可就只剩一天了。——@ZZzzzZzlLlllL1L  ,,无,无,无,2022-12-30 13:00,微博 weibo.com,1429,144,39
MlY8Iv0dZ,如果觉得做一份工作每周只有两天假期太少了的话，那做三份工作每周就有六天假期了。——@吐口水是表达喜欢  ,,无,无,无,2022-12-30 13:00,微博 weibo.com,610,16,23
MlXKntFAr,缺少个人特色，是因为灵魂饱和度低——@送泥一条鱼  ,,无,无,无,2022-12-30 12:00,微博 weibo.com,4809,365,93
MlXm2mP7t,拉着屎不占茅坑（打一明星）——@bottom152  ,,无,无,无,2022-12-30 11:00,微博 weibo.com,4570,38,196
MlWXGtlbz,夹克也算JK吗——@bottom152  ,,无,无,无,2022-12-30 10:00,微博 weibo.com,649,21,94
MlWzilU0i,“这把我的！”暴露狂指着自己的牛子嚎道。——@bottom152  ,,无,无,无,2022-12-30 09:00,微博 weibo.com,1256,12,46
MlWaX2XmW,同时吃褪黑素和黑巧克力，是不是等于吃了白巧克力——@百目者  ,,无,无,无,2022-12-30 08:00,微博 weibo.com,972,14,52
MlSZrcF2q,2022年太难得了！下一次2022年可不知道什么时候了！ ——@格外幽默  ,,无,无,无,2022-12-29 23:53,未找到机型HarmonyOS设备,1015,22,49
MlSTodT6b,小明问日语老师京都怎么念，老师说：京都念慈庵 ——@雲升月墨  ,,无,无,无,2022-12-29 23:38,无,1030,33,49
MlSCgwGY1,儿子结婚的时候给他点个宅急送，希望能赶上做婚房。 ——@葵花籽和南瓜子  ,,无,无,无,2022-12-29 22:56,无,366,4,11
MlSl98q7I,范进被送进戒网所，变成了电举人——@煎蛋芹芯儿  ,,无,无,无,2022-12-29 22:14,无,708,49,31
MlQuhfOXO,面对医生手上镶钻的起搏器，我心动了——贴吧用户_aP6AUEV  ,,无,无,无,2022-12-29 17:31,无,319,4,12
MlPTMDzxh,以后在我的名字两边加上两个竖杠，我就会成为正值的人。 ——@格外幽默  ,,无,无,无,2022-12-29 16:01,无,1302,19,76
MlPb3aw19,维纳斯不能演小品，因为最后没办法包饺子。 ——@格外幽默  ,,无,无,无,2022-12-29 14:11,无,1897,48,73
MlOPCjEVq,为了不上班感染新冠，这个叫白肺心机。 ——@SHRONH  ,,无,无,无,2022-12-29 13:18,无,626,15,37
MlOKYw70b,根据能量守恒定律，冰溜子多起来的时候，街溜子就会减少。——@一秒钟哲学家  ,,无,无,无,2022-12-29 13:06,无,487,17,36
MlJr9zTXI,#弱智吧每周最佳# 2022年第52周，还是四选一1.《高等数学》让我感觉我像低等生物。2.“小猫咪，你是不是有九条命啊？”“我只有一条，因为遇到你我倒了八辈子霉了。”3.潜伏三年的卧底冒死送出了最后一份情报，黑社会老大更喜欢妈妈多一点4.国际足联盛赞卡塔尔世界杯是有史以来最新的一届世界杯。 2022年第52周                                 ,,无,无,无,2022-12-28 23:34,无,13964,89,137
MlIP6j5hu,抗原转阴，又叫重返一线 ——@干炸咸鱼  ,,无,无,无,2022-12-28 22:00,无,646,33,18
MlIF5cN5c,我的老同学自从办了一次葬礼收了我们份子钱之后就再也联系不上了，真没想到我们这么多年感情没抵过这点钱 ——@人民日扳  ,,无,无,无,2022-12-28 21:35,微博 weibo.com,1146,22,25
MlIcA99Qg,被送去做绝育的哈士奇愤怒地问大夫：“割本哈根？！！！” ——@南风公公三号机  ,,无,无,无,2022-12-28 20:25,未找到机型HarmonyOS设备,1701,81,66
MlI0GEvfC,美国人算盘打得啪啪响，而中国人用起了超级计算机。——@肉肉lin  ,,无,无,无,2022-12-28 19:56,未找到机型HarmonyOS设备,831,15,38
MlHOoyY9J,无人辅佐，只得祈求上帝保佑。——@肉肉lin  ,,无,无,无,2022-12-28 19:26,无,292,10,20
MlHb54mmQ,烹饪僵尸时一定要多加配菜，不然就会变成僵尸单炖。——@张高端  ,,无,无,无,2022-12-28 17:49,无,311,6,28
MlGVGCPsK,“世界上还有比《蜀道难》更危险的情景吗？”“数到三。”——@一秒钟哲学家  ,,无,无,无,2022-12-28 17:11,无,766,13,35
MlGtd46mO,还没出生的小孩的家长抓紧啦，再过几天2022年出生的就绝版了！——@KING-NEW-HX  ,,无,无,无,2022-12-28 16:01,无,1323,19,39
MlFJvymCF,烧仙草里面有很多葡萄干，所以烧仙草也是多肉葡萄。 ——@SHRONH  ,,无,无,无,2022-12-28 14:08,无,414,3,31
MlFBDEE8v,北京人：你大爷的上海人：阿拉伯怎么了 ——@肉肉lin  ,,无,无,无,2022-12-28 13:49,无,979,27,51
MlFpjBGsL,时间不会停止，那我们是不是一直在穿越时空？——@小C吃掉太阳  ,,无,无,无,2022-12-28 13:18,无,595,29,39
MlzZSixlD,年龄大了记性越来越差，好怀念过去怀念过去的时光。——@一秒钟哲学家  ,,无,无,无,2022-12-27 23:32,无,777,73,22
MlzSk9tTI,既然死者的岁数称为享年，那死一定是一种享受。——张脑丸  ,,无,无,无,2022-12-27 23:13,无,758,42,41
MlzI9AHng,楼下开了家朱元璋水果捞，配料只有芒果——Babushkabear  ,,无,无,无,2022-12-27 22:48,无,1117,51,67
MlzAjbRvS,考死亡证书能加几个学分？——超级春哥哥的  ,,无,无,无,2022-12-27 22:29,无,944,18,34
MlztDxGAQ,潮汐是大海遇见某个人时的怦然心动——工程菩序猿提  ,,无,无,无,2022-12-27 22:12,无,1006,92,66
MlzdRu8gt,谢谢你是表达感谢，我谢谢你是表达愤怒。 ——@肉肉lin  ,,无,无,无,2022-12-27 21:34,无,847,37,49
Mlz3d0pwG,姓Fried的外国人是食人族的预制食品吗？——@橘与苦杏仁  ,,无,无,无,2022-12-27 21:07,无,314,6,22
MlyWQAN08,昨晚做梦梦见整夜失眠，醒来发现自己在考研的考场上睡着了。——@山猪try细糠  ,,无,无,无,2022-12-27 20:52,无,263,3,14
Mlx0ZdVBm,叙利亚：请下载国家反炸app——@鬼脸翔  ,,无,无,无,2022-12-27 15:56,无,570,10,55
MlvtD4Wiq,低情商：你没有木琴高情商：你在学校都没人给送旺仔牛奶的吗——@你妈妈给你送来了旺仔牛奶  ,,无,无,无,2022-12-27 12:01,无,1464,21,65
MlpOKjFBt,“你是我的心上人”潜台词是心下、心左、心右还有位置。——@一秒钟哲学家  ,,无,无,无,2022-12-26 21:37,无,1173,64,48
MlpwxhoZG,每当说起工资多少多少块我都感觉在捡别人财富的碎片。——@一秒钟哲学家  ,,无,无,无,2022-12-26 20:52,无,475,7,17
Mlo0peVwF,要用批判性思维，所以不要用批判性思维——@稗草遗章  ,,无,无,无,2022-12-26 17:00,无,636,15,52
Mlmo0nAyS,牛顿骑着地球撞向苹果，掌握了操控地球的超能力。——@超-威-蓝-猫  ,,无,无,无,2022-12-26 12:53,无,350,7,18
Mlm8fvWRF,开食物盲盒的食人族问道：“什么时候是个头啊？”——@阿闪雷神农场主  ,,无,无,无,2022-12-26 12:14,无,962,21,50
MlhkI1nZL,- 你的播放器？- qq音乐。- 骗人，你都没会员。- 侵权音乐……——@谐霸  ,,无,无,无,2022-12-26 00:01,无,1257,6,47
Mlh8vfX8Q,最新研究，不识字的人是文盲的可能性要远高于识字的。——@司徒pi德  ,,无,无,无,2022-12-25 23:31,无,640,10,40
Mlh1Ftvcd,善良的小明给不小心烧到40多度的水投放布洛芬。——@-桜尾幸生  ,,无,无,无,2022-12-25 23:14,无,1075,17,25
MlgTPotry,新年将至，每个美国家庭都会购置来福枪祈求来年的平安好运。——@饭希fanxi  ,,无,无,无,2022-12-25 22:55,无,840,40,28
Mlf3yEdW9,玩123木头人，当我数到2，所有人都行将就木。——@肉肉lin  ,,无,无,无,2022-12-25 18:13,无,570,13,33
MleBfs2WV,发烧了后免疫系统忙的不可开胶，所以人会打不出来——@将所有努力定义为卷真的够了  ,,无,无,无,2022-12-25 17:03,无,584,6,29
MldWixIlJ,#弱智吧每周最佳# 2022年第51周，还是四选一1.生活充满了苦涩，可惜我吃不得苦，只能涩了 2.“大夫，手术顺利吗？”“哦！你就是死者家属吧？”3.点一份外卖，最好的时间是一个小时之前，其次是现在4.我用的不是智能手机吗，为什么能刷到弱智吧？ 2022年第51周  ,,无,无,无,2022-12-25 15:23,无,15835,109,157
MldHcsQXo,聪明的一休，就变得不聪明了。——@SHRONH  ,,无,无,无,2022-12-25 14:45,无,555,9,32
Mldy350I0,决赛结束多日热度仍未消散，看来世界杯是个保温杯。——@一秒钟哲学家  ,,无,无,无,2022-12-25 14:23,无,472,1,23
MlctPx3Cb,慈禧太后垂帘听政，皇宫变成帘政公署。——@一秒钟哲学家  ,,无,无,无,2022-12-25 11:40,无,514,17,24
Mlcn9vLua,我头好烫，你能用冷屁股贴一下我的热脸吗？她没回我，我成功了。——@真实感情摸鱼医生  ,,无,无,无,2022-12-25 11:23,无,1022,29,33
Ml4G9czjc,至目前我们可以认定，这几年，是人类的弱冠之年——@这个名太没意思了  ,,无,无,无,2022-12-24 15:48,无,913,21,26
Ml4dCpOy5,会哭的孩子有奶吃，父母给孩子取名莫喊莫得。——@肉肉lin  ,,无,无,无,2022-12-24 14:38,无,1860,85,63
Ml38BdiFB,食人族酋长刚搞了广岛小男孩来吃，整个部落都不饿了——长坂战神刘禅  ,,无,无,无,2022-12-24 11:53,无,561,1,35
MkX7kAPKv,因为害怕心理医生听我漫长的童年伤痛经历而睡着，我潜心学习单口相声——@幽箬筱  ,,无,无,无,2022-12-23 20:33,无,1119,77,40
MkWzfb2t8,高适应该讨厌鼓手，所以写了首诗叫《别咚哒》。——@偷娱  ,,无,无,无,2022-12-23 19:09,无,653,20,45
MkWrnFx4s,现在叫破喉咙是不是能有一堆破喉咙救我？——@海拉鲁一般路过蘑菇人  ,,无,无,无,2022-12-23 18:50,无,862,22,52
MkVNH6XdJ,我把自己的自拍上传到了作业帮到现在都没有收到答案，我就是男人们最难解的谜。——@潮湿闪耀澪  ,,无,无,无,2022-12-23 17:12,无,971,16,38
MkURBDhPg,#弱智吧每周最佳# 2022年第50周，还是四选一1.“大夫，我父亲病得就快不行了，求您给他开个方吧”“√2≈1.414”2.“大清早就亡了”，医生早上把尸体推进停尸房时说道。   3.小升初失败会变成小初生。4.哎呀！买球买错了，买成麦当劳了。 2022年第50周  ,,无,无,无,2022-12-23 14:49,无,12162,120,168
MkUMxz2sD,犯罪嫌疑人打劫两家711，违法所得共计1422。——@zb_Misaka  ,,无,无,无,2022-12-23 14:36,无,1355,16,46
MkORDEUU5,#弱智吧每周最佳# 2022年第49周，还是四选一1.“我去做核酸了。”DNA聚合酶说。 2.写论文就像卖废品，都已经是垃圾了，还要继续加水。 3.当老师五年了，攒了点钱，该去当铺把老师赎回来了。   4.毕业生太多导致就业困难，新生儿太少导致人口下降，那么让毕业生去当新生儿不就可以解决问题吗？...全文 ,,无,无,无,2022-12-22 23:32,无,15869,226,233
MkNRCsY50,新冠是真的会影响味觉，阳了之后老婆跟我说情感淡了——@青矢唯  ,,无,无,无,2022-12-22 21:00,无,1044,23,59
MkKNae2a7,食人族管觅食叫人肉搜索。 ——@肉肉lin  ,,无,无,无,2022-12-22 13:10,无,592,14,19
MkK12ns2s,中国人的性情是总喜欢调和折中。譬如你说：这屋子太暗，需要在这里开一个窗，大家一定不允许。但如果你说要拆掉屋顶，你的号就没了。——@果麦圈客郝武德  ,,无,无,无,2022-12-22 11:12,无,4491,288,262
MkJ3ZwkvS,皇帝晒太阳，身后产生了影帝。 ——@格外幽默  ,,无,无,无,2022-12-22 08:46,无,854,38,37
MkIP67LTP,这几天老是鬼压床，这懒鬼赖在床上不走了还——@SorakaWolpis  ,,无,无,无,2022-12-22 08:10,无,463,11,22
MkDSWizTY,用sink除以cosk可以高效率制造坦克——@Au02024  ,,无,无,无,2022-12-21 19:35,无,1932,176,155
MkDDkyhjA,善用短语可以凑字数，比如说比如说，还有就是还有就是，以及以及——当默然  ,,无,无,无,2022-12-21 18:57,无,1014,59,50
MkDs2iJDd,见死者脸色不是很好，王警官贴心地为其补了个妆  ——@酥打气泡猹  ,,无,无,无,2022-12-21 18:29,无,434,3,24
MkDhdbKJO,没钱给哥哥打榜，又可以称为手无富鸡之力。——@MzrY  ,,无,无,无,2022-12-21 18:02,无,821,4,47
MkBaK64OP,左脚踩了右脚没道歉，被我追着砍了一路——@真不戳戳戳  ,,无,无,无,2022-12-21 12:41,无,549,9,25
MkAZq43uW,歹徒冲进银行给所有人的嘴巴贴上胶带史称大无语事件——旺星人  ,,无,无,无,2022-12-21 12:13,无,940,19,34
MkAETA413,我和你一起光屁股坐在地球上，真是一石二鸟。——@超-威-蓝-猫  ,,无,无,无,2022-12-21 11:23,无,314,4,31
MkAyktg3Y,咸水鸭是不是咸鸭蛋孵化的——@虾仁猪心  ,,无,无,无,2022-12-21 11:06,无,479,10,51
Mkw5KFFFH,“你有口服了！” 医生开药时对我说。 ——@肉肉lin  ,,无,无,无,2022-12-20 23:45,无,558,13,30
MkvP8F0a2,“人生啊，就像鱼生一样，你总得冒点风险来享受。”食人族酋长道。——@这个名太没意思了  ,,无,无,无,2022-12-20 23:04,无,478,14,23
MkvG9DLOU,十步杀一人的剑客完美处理了尸体却忘了退出微信步数排行榜 ——@吴洋了正止  ,,无,无,无,2022-12-20 22:42,无,1049,23,25
MkvuXuX3h,奥斯卡不是啥好奖吧，每次都往小人脸上贴金。——@絮葭白  ,,无,无,无,2022-12-20 22:14,无,873,61,22
MkuQb446c,粗心大意的医生将自己缝在了病人体内。——@超-威-蓝-猫  ,,无,无,无,2022-12-20 20:34,无,1103,27,61
MkuoKseYg,love哪有life香，食人族酋长安慰失恋的小明道。——@Oysm_Olivia  ,,无,无,无,2022-12-20 19:26,无,1084,21,55
MktkIao7H,我有杰癖，让我康康。——@一秒钟哲学家  ,,无,无,无,2022-12-20 16:44,无,616,14,26
MktcHpMqk,你看看，这孩子，这么大的人了收贿受贿还是那么害羞。——@饭希fanxi  ,,无,无,无,2022-12-20 16:24,无,555,5,28
MksPoaOYU,父母之命媒妁之言，又称双盲实验——@Coda_ss  ,,无,无,无,2022-12-20 15:26,无,670,16,16
MksBzuzax,lex被爆出轨那天，整个微博都震惊了。大家都在问“lex是谁”——@真不戳戳戳  ,,无,无,无,2022-12-20 14:52,无,12020,168,467
MkrBimfjA,为啥一尿就湿的东西还能叫尿不湿呢？——@六翼大叔  ,,无,无,无,2022-12-20 12:19,无,1327,8,54
Mkr9ovl2P,太阳照亮景色，也让我们看不清。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-12-20 11:10,无,526,20,21
Mkr2MEqHt,悟空啊 即便是妖精 你也不能全都一棍子打死啊——@果麦圈客郝武德  ,,无,无,无,2022-12-20 10:54,无,721,4,27
MklYutk2n,停尸间也叫骸景房。——@一秒钟哲学家  ,,无,无,无,2022-12-19 22:00,未找到机型HarmonyOS设备,739,27,27
MklkbuKkj,通过劳动换取报酬的人也叫劳赎人。——@HansTuu  ,,无,无,无,2022-12-19 20:20,无,417,15,23
MkirtqPVb,剩菜吃完直接扔掉太浪费了，看我放冰箱里，一星期之后再拿出来扔了——@SRIFH  ,,无,无,无,2022-12-19 13:00,无,825,16,45
Mki4L6YzZ,观众席那么多人穿10号，怎么认出哪个是梅西？——@饭希fanxi  ,,无,无,无,2022-12-19 12:04,无,2731,111,85
MkhUeAGbk,造了假钱用传真机发给别人不就可以了?——@这个名太没意思了  ,,无,无,无,2022-12-19 11:38,无,957,14,42
MkhLyfP3Y,有没有可能我们一直在核桃里，核桃仁才是在核桃外？ ——@格外幽默  ,,无,无,无,2022-12-19 11:17,无,1576,38,81
MkhF9q6UG,足球时速那么快，为什么人们不坐着踢飞的足球上班上学？ ——@虫岛BLUE  ,,无,无,无,2022-12-19 11:01,无,857,10,73
MkhytnKF6,打雪仗算不算是一种冷暴力？——@活死人WokenDay  ,,无,无,无,2022-12-19 10:45,无,1020,42,50
MkhkrbtDf,DIO的替身忍不住了，买了个世界杯——@将所有努力定义为卷真的够了  ,,无,无,无,2022-12-19 10:10,无,416,11,24
MkdjGxdEa,王警官还是晚来一步，没能要到凶手亲笔签名的泳装照。——@饭希fanxi  ,,无,无,无,2022-12-18 23:57,无,432,3,34
Mkd9foxst,台风袭击了墓地，无人生还。——htdjhdcu  ,,无,无,无,2022-12-18 23:31,无,500,11,28
MkaRRDfMi,给卖抗原的拍个电影叫《我不是原神》 ——@叉烧包走私犯  ,,无,无,无,2022-12-18 17:43,无,6383,860,228
MkaLIwCBW,导师说我的论文像科学怪人，全是东拼西凑。——贴吧用户_GaPyMQt  ,,无,无,无,2022-12-18 17:28,无,540,21,27
MkaE9h95A,设计杯子的人没有创作瓶颈——月夜魔术师  ,,无,无,无,2022-12-18 17:09,无,599,16,27
Mkab8y5pC,学区房又叫孩景房。——@一秒钟哲学家  ,,无,无,无,2022-12-18 15:58,未找到机型HarmonyOS设备,633,7,31
Mk8UBpWUx,恐怖分子：随机撞楼之前要随机抽取一飞机乘客随机——@精神病患写的诗烟花绽放的节日  ,,无,无,无,2022-12-18 12:44,无,336,5,19
Mk8fNbwjm,本来挺喜欢学区房的，得知学区房要花钱买之后，我果断转黑——@真不戳戳戳  ,,无,无,无,2022-12-18 11:04,未找到机型HarmonyOS设备,990,10,36
Mk80o9GR8,待到山花烂漫时，她在丛中扫。 ——@SHRONH  ,,无,无,无,2022-12-18 10:26,无,251,3,26
Mk7Dabv0d,嫪毐会不会觉得身边都是小阳人？——@澳加伊祖卡  ,,无,无,无,2022-12-18 09:29,无,728,13,56
Mk3AG5pJ1,责任或重于泰山，或在于美方——@偏黑幽默  ,,无,无,无,2022-12-17 23:12,未找到机型HarmonyOS设备,3585,407,136
Mk1yb4110,为避免暴露身份，王警官建议取消王警官投稿——@來壹杯柠檬水  ,,无,无,无,2022-12-17 18:00,无,620,6,34
Mk1rozKtP,山东人：唉，人走茶凉广东人：什么凉茶走人？——@青矢唯  ,,无,无,无,2022-12-17 17:43,无,873,36,62
Mk1kJdq6w,宝可梦动画真的失了智——@央原子  ,,无,无,无,2022-12-17 17:27,未找到机型HarmonyOS设备,1611,246,51
Mk0HdeCd6,雄心壮志的大学生决心在公司大展黄图。——@饭希fanxi  ,,无,无,无,2022-12-17 15:49,无,758,28,43
MjZ7amOgr,不同人种都有各自的特点，比如黑人牙高——@稗草遗章  ,,无,无,无,2022-12-17 11:48,无,1035,11,55
MjYKk6tQ4,老话说病从口入，所以我在厨房的燃气灶上喷了很多酒精消毒，可我还是很担心，先抽根烟压压惊吧——@张小白啊白  ,,无,无,无,2022-12-17 10:52,无,881,13,28
MjTmO9Rld,病历本里全是病句。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-12-16 21:10,无,458,12,16
MjTa9mlim,脑回路交警熟练地处理着每一起脑筋急转弯。——@一秒钟哲学家  ,,无,无,无,2022-12-16 20:39,无,292,4,7
MjSWC9v5m,每次去理发店，都会下起毛毛雨。——@默然夜  ,,无,无,无,2022-12-16 20:05,无,350,8,30
MjRXg1Uwe,发烧的食人族酋长决定吃一个健康人滋阴补阳。——@超-威-蓝-猫  ,,无,无,无,2022-12-16 17:34,无,553,13,23
MjREk3Cur,“你怎么不去西啊？”扛不住咒骂的新西兰之后高举新兰大旗。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2022-12-16 16:48,无,436,6,29
MjRnb8fWy,本书经由多位专家指导，压出来的方便面肥而不腻。——@司徒pi德  ,,无,无,无,2022-12-16 16:05,无,391,5,30
MjRgWBPIr,没看过这条微博的人都会度过没看过这条微博的人生。——@央原子  ,,无,无,无,2022-12-16 15:50,无,862,24,53
MjQbHsI4z,墨子是墨家的，老子是老家的——@闻声侃侃  ,,无,无,无,2022-12-16 13:04,无,1372,25,58
MjPzIqEwz,投稿：random.shuffle我每次都用两遍，不然混不匀——@卢卡斯不会取名字  ,,无,无,无,2022-12-16 11:31,无,457,10,41
MjPs9etAI,体温40度有啥好怕的，我眼睛都200度了——@真不戳戳戳  ,,无,无,无,2022-12-16 11:12,无,1357,40,82
MjJywgnPD,记者：C罗，请问是什么让你今晚落下泪水？C罗：摩洛哥逼的 ——@脱口秀演员瘦子  ,,无,无,无,2022-12-15 20:11,无,1057,29,37
MjJoVrQxz,我是建筑工，我好想水泥。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2022-12-15 19:48,无,521,13,55
MjIVzrkOL,"“七步之内,我快!”五步蛇道——@这个名太没意思了  ",,无,无,无,2022-12-15 18:35,无,673,7,34
MjIJqyDNN,防疫魅魔出租，专吸阳气。——@-桜尾幸生  ,,无,无,无,2022-12-15 18:05,无,1235,33,62
MjIcgwCEG,“小王，这是批违禁物品，知道该怎么处理了吗？”“收到！没收！”——@青矢唯  ,,无,无,无,2022-12-15 16:44,无,705,3,35
MjGjSmh8c,为精准产出笨鸡蛋，养鸡场定期为鸡检测智商。——@段子手郝师傅  ,,无,无,无,2022-12-15 11:57,无,515,4,37
MjBgdoCia,卡塔尔跟我们明明有时差，为什么比赛总是在整点开始呢？——@南桥车马客  ,,无,无,无,2022-12-14 23:04,无,1886,15,89
MjApkCRi9,印度人吃饭本当上手。——@超-威-蓝-猫  ,,无,无,无,2022-12-14 20:54,无,563,30,30
MjzFiq9Ne,小明住进凶宅却遇到了灵魂伴侣。 ——@肉肉lin  ,,无,无,无,2022-12-14 19:01,无,694,86,51
Mjy1Xnjoh,因为看《阿凡达2》而阳了的人才是真正的电影发烧友吧？——@狂舞的金牛  ,,无,无,无,2022-12-14 14:51,无,1125,41,64
MjwWU6O16,有医保定点为什么没有医廊坊点！？——@一笑清魂  ,,无,无,无,2022-12-14 12:06,无,1122,48,82
MjrOSfAuU,“这一掌，打你有眼无珠！”“这一掌，打你有口无肛！”涡虫默默接受着训斥。——弱鸡小学生  ,,无,无,无,2022-12-13 23:02,无,838,41,37
MjrxPzNgK,#弱智吧每周最佳# 2022年第48周1.用打蛋器顶在乞丐肚子上转了十五分钟后他终于忍不住了，对我说道：你打发要饭的呢？2.为什么西游记不请唐僧本人来演呢，他不是长生不老吗？3.选男人就像看动漫，op和ed都要跳过4.很多人说的看不到未来其实是看到了未来 2022年第48周  ,,无,无,无,2022-12-13 22:20,无,17853,175,378
MjqyQtWiF,建筑工地总是有绿色的布，有没有可能建筑是后期P上去的？——贴吧用户_5N5ESRb  ,,无,无,无,2022-12-13 19:50,无,1027,20,44
Mjqq22JNR,商鞅变法之后，秦国举了白起——月夜魔术师  ,,无,无,无,2022-12-13 19:28,无,371,9,23
MjpiODU2X,不在心上人面前放屁是一种人定胜天。——@嚴觀無相  ,,无,无,无,2022-12-13 16:38,无,421,5,21
Mjos22pbm,美容院的会员卡，是不是爱美丽卡？——@偷娱  ,,无,无,无,2022-12-13 14:28,无,899,10,34
Mjog2yFB6,虎毒不食子，因为有毒——恺撒布兰卡  ,,无,无,无,2022-12-13 13:58,无,586,8,31
MjnRD8GCE,“路漫漫其修远兮，吾将上下而求索”这句话是谁写的？“老子。”屈原回答道——@Countingstars_  ,,无,无,无,2022-12-13 12:58,无,1200,19,35
MjnwdcaLw,突然不用做核酸了好难受，麻烦来个男大医学生捅我。——@饭希fanxi  ,,无,无,无,2022-12-13 12:05,无,3872,137,138
Mjn4e4tE9,出个脑子，99新，女大自用。——@重生之我是阎王爷  ,,无,无,无,2022-12-13 10:56,无,1267,19,68
Mjh69mopw,春运是不是就是桃花运？——@天空之城在Gucci  ,,无,无,无,2022-12-12 19:45,无,512,12,33
MjfXACV0c,“你去和我的律师谈吧！”“可我已经有对象了！”——@超级南瓜打败花椰菜  ,,无,无,无,2022-12-12 16:51,未找到机型HarmonyOS设备,497,14,15
Mjf5h92Rz,为了避免自己刚买的拖拉机报废，小明在车里放了很多碎瓷片。——@有一个屑屑前来买瓜  ,,无,无,无,2022-12-12 14:37,无,793,25,48
MjeA89W0F,一男子吃着老婆饼突然猝死，现场警察只找到了剩下一半的寡妇饼。——@白鲨佩特Sharrpet  ,,无,无,无,2022-12-12 13:20,无,772,16,35
Mjep2hKJ1,幸好年初没制定计划，不然就要完不成了。——@梦幻大锄头  ,,无,无,无,2022-12-12 12:53,无,745,76,32
MjehbgbZE,羽绒服在洗衣机参加选秀——成团了——@梦幻大锄头  ,,无,无,无,2022-12-12 12:33,无,435,12,22
MjdQIDuwc,既然美羊羊这么爱干净，那她平时都是怎样去羊膻的呢？ ——@小威Lights  ,,无,无,无,2022-12-12 11:28,无,3955,210,146
MjdwMjjPW,“老板，我们时间比较紧，这次剧本杀就玩个快本吧。”“好的，欢迎大家在每周六晚上来到《快乐大本营》，我们是！” ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2022-12-12 10:39,无,1147,28,46
Mjd9bFldF,哪里放开了奥，我明明还在自闭。——@Oysm_Olivia  ,,无,无,无,2022-12-12 09:41,无,569,29,31
MjcWnpBfz,冬天被风一吹我就饱了，吹在我脸上就是刀削面。——@默然夜  ,,无,无,无,2022-12-12 09:09,无,342,9,23
Mj7FkrYsm,人鱼夫妇有了七年之痒，整天互相挑刺。 ——@肉肉lin  ,,无,无,无,2022-12-11 19:44,无,495,14,22
